Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
143 	 3.893000 	 4.039483 	 2.545000 	 0.102000 	 0.173000 	 0.786000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
144 	 3.886000 	 4.038417 	 2.540000 	 0.098000 	 0.173000 	 0.787000 	 0.013000 	 0.021000 	 0.237000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
145 	 3.887000 	 4.037372 	 2.543000 	 0.099000 	 0.172000 	 0.786000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
146 	 3.935000 	 4.036671 	 2.540000 	 0.097000 	 0.173000 	 0.825000 	 0.013000 	 0.021000 	 0.249000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
147 	 3.981000 	 4.036293 	 2.543000 	 0.099000 	 0.172000 	 0.869000 	 0.012000 	 0.023000 	 0.243000 	 0.003000 	 0.012000 	 0.003000 	 0.000000
148 	 4.133000 	 4.036946 	 2.609000 	 0.099000 	 0.172000 	 0.790000 	 0.013000 	 0.021000 	 0.400000 	 0.004000 	 0.018000 	 0.004000 	 0.000000
149 	 4.325000 	 4.038879 	 2.979000 	 0.098000 	 0.171000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
150 	 3.979000 	 4.038480 	 2.632000 	 0.099000 	 0.172000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
151 	 3.896000 	 4.037536 	 2.548000 	 0.100000 	 0.171000 	 0.787000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
152 	 3.892000 	 4.036579 	 2.542000 	 0.103000 	 0.172000 	 0.787000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
153 	 4.309000 	 4.038359 	 2.845000 	 0.098000 	 0.174000 	 0.901000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
154 	 3.959000 	 4.037844 	 2.586000 	 0.099000 	 0.173000 	 0.801000 	 0.013000 	 0.021000 	 0.250000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
155 	 3.925000 	 4.037116 	 2.552000 	 0.099000 	 0.172000 	 0.806000 	 0.013000 	 0.021000 	 0.246000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
156 	 3.888000 	 4.036160 	 2.544000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
157 	 4.242000 	 4.037471 	 2.845000 	 0.098000 	 0.174000 	 0.829000 	 0.013000 	 0.022000 	 0.242000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
158 	 4.090000 	 4.037804 	 2.636000 	 0.120000 	 0.171000 	 0.872000 	 0.013000 	 0.021000 	 0.237000 	 0.004000 	 0.010000 	 0.003000 	 0.000000
159 	 3.895000 	 4.036906 	 2.542000 	 0.098000 	 0.174000 	 0.791000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
160 	 3.892000 	 4.036000 	 2.547000 	 0.098000 	 0.172000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
161 	 4.171000 	 4.036839 	 2.657000 	 0.102000 	 0.262000 	 0.836000 	 0.012000 	 0.022000 	 0.255000 	 0.003000 	 0.011000 	 0.006000 	 0.000000
162 	 4.047000 	 4.036901 	 2.625000 	 0.098000 	 0.173000 	 0.859000 	 0.012000 	 0.022000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
163 	 4.790000 	 4.041521 	 2.736000 	 0.099000 	 0.220000 	 1.382000 	 0.015000 	 0.039000 	 0.281000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
164 	 3.908000 	 4.040707 	 2.548000 	 0.098000 	 0.173000 	 0.796000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
165 	 4.076000 	 4.040921 	 2.727000 	 0.098000 	 0.172000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.011000 	 0.004000 	 0.000000
166 	 3.942000 	 4.040325 	 2.547000 	 0.098000 	 0.173000 	 0.824000 	 0.012000 	 0.022000 	 0.247000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
167 	 4.065000 	 4.040473 	 2.671000 	 0.098000 	 0.174000 	 0.817000 	 0.012000 	 0.021000 	 0.250000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
168 	 4.044000 	 4.040494 	 2.658000 	 0.098000 	 0.171000 	 0.815000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
169 	 4.152000 	 4.041154 	 2.745000 	 0.108000 	 0.205000 	 0.792000 	 0.012000 	 0.022000 	 0.243000 	 0.003000 	 0.011000 	 0.005000 	 0.001000
170 	 4.059000 	 4.041259 	 2.664000 	 0.098000 	 0.173000 	 0.831000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
171 	 3.946000 	 4.040702 	 2.596000 	 0.102000 	 0.171000 	 0.788000 	 0.012000 	 0.021000 	 0.237000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
172 	 3.895000 	 4.039855 	 2.545000 	 0.101000 	 0.173000 	 0.788000 	 0.012000 	 0.022000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
173 	 4.082000 	 4.040098 	 2.644000 	 0.116000 	 0.177000 	 0.848000 	 0.012000 	 0.021000 	 0.241000 	 0.004000 	 0.010000 	 0.002000 	 0.000000
174 	 3.907000 	 4.039333 	 2.546000 	 0.098000 	 0.175000 	 0.787000 	 0.012000 	 0.021000 	 0.250000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
175 	 3.966000 	 4.038914 	 2.581000 	 0.098000 	 0.173000 	 0.815000 	 0.012000 	 0.021000 	 0.249000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
176 	 3.944000 	 4.038375 	 2.544000 	 0.103000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.256000 	 0.011000 	 0.030000 	 0.002000 	 0.000000
177 	 3.978000 	 4.038034 	 2.624000 	 0.098000 	 0.171000 	 0.794000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
178 	 4.638000 	 4.041404 	 3.292000 	 0.098000 	 0.173000 	 0.786000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
179 	 3.904000 	 4.040637 	 2.554000 	 0.098000 	 0.172000 	 0.793000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
180 	 3.896000 	 4.039833 	 2.549000 	 0.098000 	 0.173000 	 0.786000 	 0.012000 	 0.022000 	 0.236000 	 0.003000 	 0.013000 	 0.002000 	 0.000000
181 	 4.035000 	 4.039807 	 2.551000 	 0.099000 	 0.173000 	 0.891000 	 0.013000 	 0.022000 	 0.262000 	 0.004000 	 0.011000 	 0.007000 	 0.001000
182 	 3.952000 	 4.039324 	 2.602000 	 0.098000 	 0.173000 	 0.788000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
183 	 3.928000 	 4.038716 	 2.581000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.010000 	 0.002000 	 0.000000
184 	 3.894000 	 4.037929 	 2.544000 	 0.102000 	 0.170000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
185 	 3.887000 	 4.037114 	 2.541000 	 0.099000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
186 	 3.977000 	 4.036790 	 2.539000 	 0.098000 	 0.173000 	 0.868000 	 0.013000 	 0.022000 	 0.246000 	 0.003000 	 0.011000 	 0.003000 	 0.001000
187 	 4.043000 	 4.036824 	 2.602000 	 0.103000 	 0.172000 	 0.876000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.001000
188 	 4.179000 	 4.037580 	 2.831000 	 0.098000 	 0.171000 	 0.788000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
189 	 3.891000 	 4.036804 	 2.543000 	 0.102000 	 0.173000 	 0.785000 	 0.012000 	 0.021000 	 0.238000 	 0.004000 	 0.010000 	 0.002000 	 0.000000
190 	 4.353000 	 4.038468 	 2.909000 	 0.098000 	 0.172000 	 0.882000 	 0.013000 	 0.022000 	 0.237000 	 0.004000 	 0.010000 	 0.003000 	 0.000000
191 	 3.932000 	 4.037911 	 2.584000 	 0.099000 	 0.172000 	 0.787000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
192 	 3.964000 	 4.037526 	 2.586000 	 0.098000 	 0.171000 	 0.810000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.010000 	 0.003000 	 0.000000
193 	 3.898000 	 4.036803 	 2.547000 	 0.103000 	 0.172000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
194 	 3.890000 	 4.036046 	 2.540000 	 0.103000 	 0.172000 	 0.787000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
195 	 3.890000 	 4.035297 	 2.542000 	 0.103000 	 0.172000 	 0.786000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
196 	 4.046000 	 4.035352 	 2.558000 	 0.102000 	 0.185000 	 0.880000 	 0.013000 	 0.022000 	 0.265000 	 0.003000 	 0.012000 	 0.004000 	 0.000000
197 	 3.956000 	 4.034949 	 2.602000 	 0.098000 	 0.173000 	 0.793000 	 0.012000 	 0.021000 	 0.238000 	 0.004000 	 0.011000 	 0.002000 	 0.000000
198 	 4.324000 	 4.036409 	 2.907000 	 0.100000 	 0.186000 	 0.814000 	 0.013000 	 0.022000 	 0.256000 	 0.004000 	 0.011000 	 0.006000 	 0.000000
199 	 3.982000 	 4.036136 	 2.587000 	 0.103000 	 0.172000 	 0.825000 	 0.012000 	 0.022000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
200 	 3.898000 	 4.035445 	 2.544000 	 0.103000 	 0.173000 	 0.788000 	 0.013000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
