Run No 	 Compute Time (ms) 	 Avg Compute Time (ms) 	 tConvolveRGB 	 treluq7_1 	 tmaxpool_1 	 tconvolveQ7Fast_1 	 treluq7_2 	 tmaxpool_2 	 tconvolveQ7Fast_2 	 treluq7_3 	 tmaxpool_3 	 tfullconnect 	 tsoftmax
33 	 4.267000 	 4.103455 	 2.602000 	 0.125000 	 0.363000 	 0.873000 	 0.012000 	 0.021000 	 0.243000 	 0.004000 	 0.011000 	 0.004000 	 0.000000
34 	 4.016000 	 4.100882 	 2.598000 	 0.098000 	 0.171000 	 0.787000 	 0.013000 	 0.021000 	 0.309000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
35 	 3.898000 	 4.095086 	 2.546000 	 0.102000 	 0.172000 	 0.787000 	 0.012000 	 0.022000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
36 	 3.926000 	 4.090389 	 2.581000 	 0.097000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
37 	 3.896000 	 4.085135 	 2.550000 	 0.098000 	 0.172000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
38 	 3.908000 	 4.080474 	 2.562000 	 0.098000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
39 	 3.896000 	 4.075744 	 2.544000 	 0.102000 	 0.173000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
40 	 4.072000 	 4.075650 	 2.588000 	 0.100000 	 0.223000 	 0.837000 	 0.014000 	 0.024000 	 0.265000 	 0.003000 	 0.011000 	 0.003000 	 0.001000
41 	 4.055000 	 4.075146 	 2.605000 	 0.099000 	 0.174000 	 0.801000 	 0.013000 	 0.021000 	 0.316000 	 0.004000 	 0.015000 	 0.004000 	 0.000000
42 	 3.929000 	 4.071667 	 2.581000 	 0.102000 	 0.171000 	 0.787000 	 0.013000 	 0.021000 	 0.236000 	 0.003000 	 0.010000 	 0.002000 	 0.001000
43 	 3.889000 	 4.067419 	 2.540000 	 0.102000 	 0.173000 	 0.787000 	 0.012000 	 0.022000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
44 	 3.883000 	 4.063227 	 2.539000 	 0.098000 	 0.173000 	 0.785000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
45 	 3.882000 	 4.059200 	 2.540000 	 0.098000 	 0.173000 	 0.785000 	 0.012000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
46 	 4.253000 	 4.063413 	 2.777000 	 0.099000 	 0.174000 	 0.902000 	 0.012000 	 0.022000 	 0.248000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
47 	 3.932000 	 4.060617 	 2.583000 	 0.098000 	 0.174000 	 0.788000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
48 	 4.068000 	 4.060771 	 2.716000 	 0.102000 	 0.173000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
49 	 3.893000 	 4.057347 	 2.545000 	 0.103000 	 0.172000 	 0.787000 	 0.013000 	 0.021000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
50 	 3.987000 	 4.055940 	 2.574000 	 0.120000 	 0.173000 	 0.818000 	 0.013000 	 0.023000 	 0.245000 	 0.003000 	 0.011000 	 0.004000 	 0.000000
51 	 4.418000 	 4.063039 	 2.985000 	 0.103000 	 0.170000 	 0.860000 	 0.014000 	 0.028000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
52 	 4.000000 	 4.061827 	 2.584000 	 0.099000 	 0.170000 	 0.852000 	 0.012000 	 0.022000 	 0.242000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
53 	 4.159000 	 4.063660 	 2.810000 	 0.098000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
54 	 4.219000 	 4.066537 	 2.819000 	 0.098000 	 0.174000 	 0.824000 	 0.012000 	 0.022000 	 0.250000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
55 	 3.994000 	 4.065218 	 2.601000 	 0.127000 	 0.184000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.004000 	 0.010000 	 0.002000 	 0.000000
56 	 3.913000 	 4.062500 	 2.567000 	 0.098000 	 0.173000 	 0.785000 	 0.013000 	 0.021000 	 0.239000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
57 	 3.895000 	 4.059561 	 2.549000 	 0.097000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
58 	 3.894000 	 4.056707 	 2.550000 	 0.098000 	 0.170000 	 0.789000 	 0.013000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
59 	 3.888000 	 4.053847 	 2.542000 	 0.099000 	 0.173000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
60 	 3.998000 	 4.052917 	 2.611000 	 0.098000 	 0.175000 	 0.820000 	 0.013000 	 0.021000 	 0.241000 	 0.004000 	 0.011000 	 0.002000 	 0.001000
61 	 4.085000 	 4.053443 	 2.585000 	 0.099000 	 0.175000 	 0.927000 	 0.012000 	 0.021000 	 0.249000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
62 	 4.231000 	 4.056306 	 2.597000 	 0.174000 	 0.277000 	 0.880000 	 0.012000 	 0.021000 	 0.243000 	 0.004000 	 0.011000 	 0.004000 	 0.000000
63 	 3.963000 	 4.054825 	 2.594000 	 0.099000 	 0.171000 	 0.785000 	 0.013000 	 0.021000 	 0.259000 	 0.004000 	 0.011000 	 0.002000 	 0.000000
64 	 4.091000 	 4.055391 	 2.740000 	 0.103000 	 0.172000 	 0.788000 	 0.012000 	 0.021000 	 0.238000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
65 	 3.899000 	 4.052985 	 2.551000 	 0.098000 	 0.172000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
66 	 3.893000 	 4.050561 	 2.543000 	 0.099000 	 0.173000 	 0.791000 	 0.012000 	 0.021000 	 0.237000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
67 	 3.922000 	 4.048642 	 2.573000 	 0.098000 	 0.172000 	 0.787000 	 0.012000 	 0.021000 	 0.240000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
68 	 3.891000 	 4.046324 	 2.542000 	 0.099000 	 0.173000 	 0.788000 	 0.012000 	 0.022000 	 0.238000 	 0.003000 	 0.010000 	 0.002000 	 0.000000
69 	 3.934000 	 4.044696 	 2.580000 	 0.102000 	 0.174000 	 0.789000 	 0.012000 	 0.021000 	 0.238000 	 0.004000 	 0.010000 	 0.002000 	 0.001000
70 	 4.066000 	 4.045000 	 2.635000 	 0.100000 	 0.182000 	 0.846000 	 0.013000 	 0.021000 	 0.251000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
71 	 4.058000 	 4.045183 	 2.582000 	 0.103000 	 0.175000 	 0.899000 	 0.013000 	 0.021000 	 0.247000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
72 	 4.166000 	 4.046861 	 2.821000 	 0.098000 	 0.171000 	 0.787000 	 0.012000 	 0.021000 	 0.238000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
73 	 3.896000 	 4.044795 	 2.548000 	 0.097000 	 0.172000 	 0.792000 	 0.012000 	 0.022000 	 0.236000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
74 	 3.905000 	 4.042905 	 2.543000 	 0.098000 	 0.173000 	 0.787000 	 0.012000 	 0.022000 	 0.252000 	 0.003000 	 0.011000 	 0.002000 	 0.000000
75 	 4.338000 	 4.046840 	 2.896000 	 0.099000 	 0.181000 	 0.861000 	 0.013000 	 0.021000 	 0.248000 	 0.003000 	 0.011000 	 0.003000 	 0.000000
